 8369, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 11: Grouping and ungrouping figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8370, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 12: Launch the application, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8371, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 13: Open an existing drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8372, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 14: Save a drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8373, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 15: Scalability:  Drawings should be as large as possible, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8374, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 16: Performance: Quickly redraw figures if changed, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8375, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 17: Performance: Quickly locate figures based on x-y coordinates, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8376, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 18: Interoperability: Support data exchange via the clipboard, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8377, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 19: Usability: Support operating system specific user interfaces, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8378, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 20: Performance: Strive for a short startup latency, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8379, org.jhotdraw.draw.AttributeKeys$Orientation.-init-(java/lang/String;int)V, 21: Recoverability: periodic auto-save, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8401, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 01: Paint figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8402, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 02: Create figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8403, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8404, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8405, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8406, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8407, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 07: Change properties of figures, inner, T, T, T, InnerPureSurroundedT, CT, 1, 0, 0, 1, 0, 0
 8408, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8409, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8410, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8411, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8412, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8413, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8414, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8415, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8416, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8417, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8418, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8419, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8420, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8421, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-()V, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8422, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 01: Paint figures and connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8423, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 02: Create figures and connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8424, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 03: Delete figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
