MethodID, MethodName, RequirementID, RequirementName, ClassID, ClassName, Gold, Subject, OwnerClassT, OwnerClassN, OwnerClassE, #callermethods, #callermethodsT, #callermethodsN, #callermethodsE, #callerclasses, #callerclassesT, #callerclassesN, #callerclassesE, #calleemethods, #calleemethodsT, #calleemethodsN, #calleemethodsE, #calleeclasses, #calleeclassesT, #calleeclassesN, #calleeclassesE, CalleePrediction, CallerPrediction
16,de.java_chess.javaChess.GameController.setGame,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
16,de.java_chess.javaChess.GameController.setGame,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
16,de.java_chess.javaChess.GameController.setGame,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
17,de.java_chess.javaChess.GameController.setGameNotation,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
