 1918, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1920, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, T, T, T, LeafPureSurroundedT, CT, 1, 0, 0, 0, 0, 0
 1922, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1924, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1926, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-()V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1928, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1930, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1932, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1934, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1936, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1938, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, T, T, T, LeafPureSurroundedT, CT, 1, 0, 0, 0, 0, 0
 1940, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1942, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
